Date,PM25,Ozone,Temperature,Humidity
2024-02-28,10.6,0.039,11.1,76.0
2024-02-29,3.7,0.039,4.8,36.0
2024-03-01,4.1,0.042,4.0,52.0
2024-03-02,4.4,0.032,8.6,87.0
2024-03-03,4.9,0.04,10.8,78.0
2024-03-04,3.3,0.041,14.2,68.0
2024-03-05,2.4,0.026,11.9,81.0
2024-03-06,5.8,0.016,12.0,89.0
2024-03-07,3.4,0.036,13.1,72.0
2024-03-08,3.6,0.036,11.4,65.0
2024-03-09,4.9,0.032,8.1,86.0
2024-03-10,2.1,0.039,6.1,57.0
2024-03-11,1.8,0.045,8.1,37.0
2024-03-12,4.2,0.052,12.5,36.0
2024-03-13,7.3,0.054,13.3,50.0
2024-03-14,9.7,0.06,15.6,42.0
2024-03-15,10.7,0.044,17.8,58.0
2024-03-16,3.9,0.045,13.1,47.0
2024-03-17,4.2,0.046,15.6,41.0
2024-03-18,3.4,0.041,6.2,40.0
2024-03-19,3.3,0.041,6.4,40.0
2024-03-20,6.1,0.05,10.9,38.0
2024-03-21,5.0,0.042,5.1,33.0
2024-03-22,4.9,0.041,4.8,53.0
2024-03-23,4.4,0.041,6.7,74.0
2024-03-24,3.8,0.044,5.3,44.0
2024-03-25,5.0,0.047,6.5,52.0
2024-03-26,6.2,0.04,8.6,58.0
2024-03-27,5.1,0.027,8.9,87.0
2024-03-28,7.0,0.039,9.8,61.0
2024-03-29,6.3,0.053,8.4,41.0
2024-03-30,6.1,0.046,9.7,53.0
2024-03-31,7.3,0.05,12.5,67.0
2024-04-01,7.9,0.039,13.4,83.0
2024-04-02,5.1,0.041,10.6,89.0
2024-04-03,2.5,0.035,9.2,85.0
2024-04-04,2.0,0.038,7.2,67.0
2024-04-05,1.5,0.039,8.1,56.0
2024-04-06,2.6,0.04,8.6,53.0
2024-04-07,2.4,0.046,9.7,50.0
2024-04-08,4.3,0.05,12.8,52.0
2024-04-09,12.4,0.055,18.1,55.0
2024-04-10,8.8,0.05,21.4,59.0
2024-04-11,6.6,0.04,19.8,78.0
2024-04-12,2.4,0.047,16.7,54.0
2024-04-13,2.2,0.049,13.6,37.0
2024-04-14,4.8,0.054,17.3,40.0
2024-04-15,8.4,0.059,21.9,44.0
2024-04-16,4.8,0.055,17.3,37.0
2024-04-17,10.2,0.046,19.2,53.0
2024-04-18,10.9,0.05,18.9,60.0
2024-04-19,6.8,0.031,12.8,82.0
2024-04-20,5.1,0.047,17.5,50.0
2024-04-21,3.5,0.037,9.5,43.0
2024-04-22,4.2,0.048,11.4,43.0
2024-04-23,5.1,0.051,12.2,43.0
2024-04-24,5.6,0.053,18.9,41.0
2024-04-25,4.9,0.036,13.1,61.0
2024-04-26,4.2,0.038,11.7,48.0
2024-04-27,4.6,0.029,12.8,78.0
2024-04-28,10.6,0.046,20.9,68.0
2024-04-29,10.1,0.056,23.4,54.0
2024-04-30,10.6,0.048,23.6,57.0
2024-05-01,5.5,0.056,22.2,59.0
2024-05-02,7.5,0.064,22.8,57.0
2024-05-03,7.5,0.046,18.9,63.0
2024-05-04,3.7,0.024,12.2,90.0
2024-05-05,5.0,0.02,16.2,89.0
2024-05-06,6.8,0.03,21.2,83.0
2024-05-07,6.2,0.036,22.8,79.0
2024-05-08,7.0,0.045,24.2,61.0
2024-05-09,6.0,0.044,19.5,66.0
2024-05-10,3.4,0.025,13.9,86.0
2024-05-11,3.0,0.038,13.3,72.0
2024-05-12,3.9,0.04,14.8,66.0
2024-05-13,4.7,0.046,16.4,58.0
2024-05-14,6.3,0.039,17.5,83.0
2024-05-15,3.9,0.036,16.7,87.0
2024-05-16,4.3,0.044,19.5,66.0
2024-05-17,4.1,0.034,18.4,76.0
2024-05-18,6.2,0.033,17.0,90.0
2024-05-19,10.2,0.043,19.4,76.0
2024-05-20,7.2,0.047,19.7,77.0
2024-05-21,6.6,0.041,22.0,65.0
2024-05-22,7.7,0.049,25.3,65.0
2024-05-23,10.4,0.05,25.0,70.0
2024-05-24,9.6,0.064,24.8,67.0
2024-05-25,10.1,0.06,24.2,69.0
2024-05-26,7.6,0.055,25.3,71.0
2024-05-27,6.8,0.031,23.4,79.0
2024-05-28,4.2,0.049,22.0,62.0
2024-05-29,4.3,0.048,19.2,73.0
2024-05-30,4.4,0.044,18.6,52.0
2024-05-31,4.4,0.05,17.5,48.0
2024-06-01,5.2,0.055,18.6,51.0
2024-06-02,8.9,0.046,21.7,62.0
2024-06-03,8.5,0.052,23.6,67.0
2024-06-04,9.7,0.056,24.5,64.0
2024-06-05,10.1,0.032,24.8,81.0
2024-06-06,8.9,0.031,25.6,72.0
2024-06-07,4.2,0.05,22.5,47.0
2024-06-08,4.0,0.051,21.7,48.0
2024-06-09,4.2,0.046,23.1,51.0
2024-06-10,4.0,0.051,20.3,54.0
2024-06-11,5.0,0.04,18.6,60.0
2024-06-12,7.6,0.051,20.3,59.0
2024-06-13,10.9,0.054,25.0,61.0
2024-06-14,12.2,0.065,26.7,60.0
2024-06-15,6.1,0.052,22.3,56.0
2024-06-16,7.8,0.053,21.7,58.0
2024-06-17,9.2,0.05,26.4,61.0
2024-06-18,9.0,0.045,27.8,62.0
2024-06-19,5.1,0.043,25.9,59.0
2024-06-20,5.7,0.043,25.9,62.0
2024-06-21,7.8,0.049,27.5,57.0
2024-06-22,10.8,0.051,30.9,49.0
2024-06-23,7.3,0.04,31.2,52.0
2024-06-24,6.6,0.05,24.8,45.0
2024-06-25,9.6,0.05,23.6,47.0
2024-06-26,7.7,0.058,29.2,56.0
2024-06-27,5.4,0.063,26.7,57.0
2024-06-28,5.2,0.047,24.2,55.0
2024-06-29,7.0,0.046,27.5,69.0
2024-06-30,7.8,0.037,29.7,62.0
2024-07-01,2.5,0.037,21.4,49.0
2024-07-02,4.2,0.042,22.5,53.0
2024-07-03,5.1,0.05,25.0,62.0
2024-07-04,10.4,0.052,28.6,73.0
2024-07-05,10.5,0.041,30.3,67.0
2024-07-06,7.6,0.052,30.8,53.0
2024-07-07,6.7,0.059,29.8,46.0
2024-07-08,9.2,0.052,28.7,61.0
2024-07-09,8.1,0.046,30.6,65.0
2024-07-10,6.6,0.035,29.7,74.0
2024-07-11,3.8,0.059,25.9,51.0
2024-07-12,4.6,0.04,23.9,83.0
2024-07-13,3.4,0.054,28.4,71.0
2024-07-14,8.4,0.056,30.0,59.0
2024-07-15,10.8,0.061,30.6,55.0
2024-07-16,12.7,0.05,30.6,59.0
2024-07-17,8.7,0.064,30.3,68.0
2024-07-18,8.4,0.06,25.8,68.0
2024-07-19,8.5,0.056,25.3,59.0
2024-07-20,7.7,0.04,24.5,80.0
2024-07-21,8.4,0.06,26.1,65.0
2024-07-22,5.5,0.034,25.9,79.0
2024-07-23,6.2,0.06,26.4,69.0
2024-07-24,4.8,0.045,27.3,86.0
2024-07-25,9.5,0.037,26.2,76.0
2024-07-26,8.3,0.057,23.9,55.0
2024-07-27,6.4,0.051,23.7,55.0
2024-07-28,7.2,0.065,24.5,57.0
2024-07-29,10.2,0.051,28.1,62.0
2024-07-30,7.2,0.033,27.5,76.0
2024-07-31,8.8,0.05,29.5,66.0
2024-08-01,14.6,0.071,28.9,61.0
2024-08-02,10.9,0.044,31.1,59.0
2024-08-03,9.7,0.042,28.6,75.0
2024-08-04,6.1,0.047,27.0,77.0
2024-08-05,9.4,0.056,28.4,61.0
2024-08-06,6.3,0.039,30.0,68.0
2024-08-07,3.5,0.023,28.6,74.0
2024-08-08,5.4,0.025,24.7,92.0
2024-08-09,6.1,0.023,26.7,86.0
2024-08-10,9.5,0.053,26.7,61.0
2024-08-11,6.2,0.045,23.4,56.0
2024-08-12,5.0,0.047,22.8,56.0
2024-08-13,5.6,0.042,23.1,53.0
2024-08-14,16.6,0.045,23.1,61.0
2024-08-15,16.3,0.047,23.9,57.0
2024-08-16,15.0,0.048,23.9,64.0
2024-08-17,14.5,0.038,25.9,78.0
2024-08-18,9.4,0.041,26.7,83.0
2024-08-19,4.1,0.039,24.4,68.0
2024-08-20,4.0,0.036,18.9,57.0
2024-08-21,3.8,0.038,17.5,56.0
2024-08-22,5.3,0.044,17.5,58.0
2024-08-23,7.4,0.063,19.8,60.0
2024-08-24,7.7,0.053,22.2,64.0
2024-08-25,8.3,0.051,23.3,63.0
2024-08-26,9.7,0.05,26.1,71.0
2024-08-27,12.4,0.074,26.4,63.0
2024-08-28,12.9,0.072,29.7,60.0
2024-08-29,8.9,0.057,27.8,77.0
2024-08-30,4.2,0.017,22.5,90.0
2024-08-31,4.7,0.037,24.5,84.0
2024-09-01,6.0,0.029,24.7,85.0
2024-09-02,6.7,0.037,20.0,56.0
2024-09-03,3.4,0.047,17.8,54.0
2024-09-04,4.4,0.047,17.8,64.0
2024-09-05,4.4,0.045,18.4,69.0
2024-09-06,5.0,0.038,20.3,72.0
2024-09-07,4.4,0.027,19.2,65.0
2024-09-08,2.5,0.038,15.6,54.0
2024-09-09,2.9,0.045,15.9,57.0
2024-09-10,6.1,0.056,19.4,61.0
2024-09-11,9.0,0.058,21.4,64.0
2024-09-12,6.2,0.057,20.9,66.0
2024-09-13,5.8,0.041,20.6,77.0
2024-09-14,8.5,0.06,21.9,63.0
2024-09-15,7.8,0.043,20.3,64.0
2024-09-16,5.9,0.04,20.3,70.0
2024-09-17,7.7,0.031,22.5,85.0
2024-09-18,4.8,0.031,21.7,87.0
2024-09-19,6.4,0.042,23.4,71.0
2024-09-20,8.7,0.051,22.5,70.0
2024-09-21,5.1,0.039,23.3,79.0
2024-09-22,4.8,0.034,20.6,84.0
2024-09-23,5.2,0.029,18.4,89.0
2024-09-24,5.1,0.027,17.5,93.0
2024-09-25,3.7,0.023,20.3,93.0
2024-09-26,4.1,0.022,23.6,90.0
2024-09-27,3.7,0.02,23.1,92.0
2024-09-28,7.5,0.039,25.3,75.0
2024-09-29,5.2,0.019,20.3,93.0
2024-09-30,4.0,0.023,18.4,92.0
2024-10-01,3.3,0.022,18.4,90.0
2024-10-02,5.3,0.02,19.2,89.0
2024-10-03,7.2,0.032,20.6,80.0
2024-10-04,6.4,0.031,21.7,87.0
2024-10-05,8.0,0.047,19.2,72.0
2024-10-06,7.0,0.047,17.0,72.0
2024-10-07,11.1,0.039,17.5,64.0
2024-10-08,3.9,0.04,14.5,64.0
2024-10-09,3.6,0.044,13.9,56.0
2024-10-10,2.9,0.026,12.0,58.0
2024-10-11,3.0,0.033,12.5,62.0
2024-10-12,7.0,0.055,16.7,63.0
2024-10-13,9.3,0.046,18.3,64.0
2024-10-14,4.8,0.033,13.4,55.0
2024-10-15,2.8,0.028,9.5,68.0
2024-10-16,2.7,0.03,9.2,58.0
2024-10-17,3.1,0.034,9.7,58.0
2024-10-18,4.3,0.034,10.9,58.0
2024-10-19,5.5,0.038,12.8,58.0
2024-10-20,6.3,0.05,13.1,63.0
2024-10-21,6.1,0.062,15.0,61.0
2024-10-22,7.1,0.056,17.5,58.0
2024-10-23,9.0,0.052,16.1,63.0
2024-10-24,5.6,0.037,12.8,49.0
2024-10-25,3.8,0.036,10.6,60.0
2024-10-26,6.0,0.04,13.4,54.0
2024-10-27,3.5,0.035,8.1,58.0
2024-10-28,4.8,0.04,8.9,65.0
2024-10-29,5.3,0.042,11.1,70.0
2024-10-30,9.9,0.04,17.0,70.0
2024-10-31,8.6,0.039,20.8,64.0
2024-11-01,5.6,0.039,20.3,52.0
2024-11-02,4.9,0.036,11.1,54.0
2024-11-03,6.3,0.036,9.5,55.0
2024-11-04,5.0,0.035,8.4,73.0
2024-11-05,5.8,0.037,18.1,68.0
2024-11-06,6.3,0.034,22.2,69.0
2024-11-07,8.1,0.035,20.6,69.0
2024-11-08,4.5,0.041,17.8,43.0
2024-11-09,3.0,0.032,8.9,45.0
2024-11-10,5.4,0.032,8.9,66.0
2024-11-11,4.1,0.034,18.9,62.0
2024-11-12,1.9,0.029,11.4,44.0
2024-11-13,3.6,0.026,5.4,52.0
2024-11-14,4.2,0.03,5.6,80.0
2024-11-15,7.2,0.02,10.3,83.0
2024-11-16,3.1,0.035,11.7,56.0
2024-11-17,5.0,0.033,8.4,66.0
2024-11-18,9.3,0.038,12.2,67.0
2024-11-19,9.2,0.029,11.4,68.0
2024-11-20,11.4,0.032,13.1,76.0
2024-11-21,2.2,0.03,6.4,65.0
2024-11-22,2.3,0.018,4.2,70.0
2024-11-23,1.0,0.022,10.0,61.0
2024-11-24,3.4,0.029,9.7,57.0
2024-11-25,6.4,0.028,7.3,67.0
2024-11-26,6.2,0.033,10.9,58.0
2024-11-27,3.7,0.026,5.9,54.0
2024-11-28,4.6,0.029,8.4,76.0
2024-11-29,4.8,0.026,2.0,57.0
2024-11-30,8.9,0.031,-1.9,53.0
2024-12-01,9.8,0.033,-0.2,63.0
2024-12-02,5.1,0.026,-1.0,50.0
2024-12-03,5.6,0.023,-0.2,50.0
2024-12-04,7.8,0.029,-1.0,60.0
2024-12-05,5.2,0.03,1.5,46.0
2024-12-06,4.6,0.031,-1.1,50.0
2024-12-07,6.0,0.031,0.1,42.0
2024-12-08,6.1,0.038,10.0,44.0
2024-12-09,9.0,0.022,8.1,83.0
2024-12-10,13.2,0.017,8.1,95.0
2024-12-11,5.3,0.024,8.9,81.0
2024-12-12,3.7,0.037,1.7,48.0
2024-12-13,6.8,0.017,-0.8,60.0
2024-12-14,7.9,0.025,0.4,56.0
2024-12-15,7.2,0.021,2.0,78.0
2024-12-16,6.9,0.012,5.3,93.0
2024-12-17,6.6,0.02,8.9,74.0
2024-12-18,4.0,0.024,5.6,74.0
2024-12-19,4.8,0.02,4.5,62.0
2024-12-20,9.2,0.014,2.8,75.0
2024-12-21,4.2,0.036,0.6,49.0
2024-12-22,4.3,0.035,-3.3,51.0
2024-12-23,6.5,0.033,-4.1,61.0
2024-12-24,10.6,0.02,0.9,67.0
2024-12-25,18.3,0.024,3.7,71.0
2024-12-26,16.2,0.022,1.2,76.0
2024-12-27,15.6,0.029,4.2,71.0
2024-12-28,8.1,0.017,7.8,94.0
2024-12-29,4.4,0.037,15.0,83.0
2024-12-30,2.3,0.038,8.4,56.0
