Date,PM25,Ozone,Temperature,Humidity,Exposure,SimulatedInflammation
2024-03-20,6.1,0.05,10.9,38.0,0.3857901074221588,0.4485623603697294
2024-03-21,5.0,0.042,5.1,33.0,0.28947384601920245,0.4462601898727389
2024-03-22,4.9,0.041,4.8,53.0,0.32983598658065444,0.44034138314707105
2024-03-23,4.4,0.041,6.7,74.0,0.37691050709972335,0.44331813117979685
2024-03-24,3.8,0.044,5.3,44.0,0.2992851658349099,0.44241865817059767
2024-03-25,5.0,0.047,6.5,52.0,0.364001539752236,0.44126592536533216
2024-03-26,6.2,0.04,8.6,58.0,0.3812501620158423,0.44715210908555814
2024-03-27,5.1,0.027,8.9,87.0,0.36800538147767936,0.45180694163894825
2024-03-28,7.0,0.039,9.8,61.0,0.406469675792048,0.4576502573229902
2024-03-29,6.3,0.053,8.4,41.0,0.4015724768120537,0.4646008786399989
2024-03-30,6.1,0.046,9.7,53.0,0.3989191526378713,0.4691848639269288
2024-03-31,7.3,0.05,12.5,67.0,0.4890333587406991,0.4799900866188461
2024-04-01,7.9,0.039,13.4,83.0,0.4939064307974191,0.4949212362136104
2024-04-02,5.1,0.041,10.6,89.0,0.44411743921695845,0.5021754307450984
2024-04-03,2.5,0.035,9.2,85.0,0.34316412478996755,0.49591655276200175
2024-04-04,2.0,0.038,7.2,67.0,0.29445580900948154,0.47977450439352914
2024-04-05,1.5,0.039,8.1,56.0,0.2648099102190635,0.46100873237873796
2024-04-06,2.6,0.04,8.6,53.0,0.28870646044799225,0.4461010186085627
2024-04-07,2.4,0.046,9.7,50.0,0.3089795238759322,0.4382389956395189
2024-04-08,4.3,0.05,12.8,52.0,0.38687886474065103,0.4408594568679326
2024-04-09,12.4,0.055,18.1,55.0,0.61897661908254,0.46936787250462875
2024-04-10,8.8,0.05,21.4,59.0,0.538054469970488,0.5002197096837355
2024-04-11,6.6,0.04,19.8,78.0,0.48244003604108243,0.5121508529232034
2024-04-12,2.4,0.047,16.7,54.0,0.35068747144928863,0.5066925369123638
2024-04-13,2.2,0.049,13.6,37.0,0.3021789425118748,0.4892335616183313
2024-04-14,4.8,0.054,17.3,40.0,0.4051053503829437,0.48075911913177094
2024-04-15,8.4,0.059,21.9,44.0,0.5363222859853518,0.4928243743809401
2024-04-16,4.8,0.055,17.3,37.0,0.4024626704821993,0.500291450169205
2024-04-17,10.2,0.046,19.2,53.0,0.5277455306882527,0.5062334935839171
2024-04-18,10.9,0.05,18.9,60.0,0.577610076395469,0.5230068475875537
2024-04-19,6.8,0.031,12.8,82.0,0.42763312399734316,0.5270502981092151
2024-04-20,5.1,0.047,17.5,50.0,0.40447840689410575,0.5181844069142688
2024-04-21,3.5,0.037,9.5,43.0,0.27430329423586264,0.4996573763548295
2024-04-22,4.2,0.048,11.4,43.0,0.3481562363693597,0.48197520316934095
2024-04-23,5.1,0.051,12.2,43.0,0.3852472813280184,0.47703675666388945
2024-04-24,5.6,0.053,18.9,41.0,0.4270527341161948,0.4796310134537305
2024-04-25,4.9,0.036,13.1,61.0,0.35862042962855234,0.4789986495923755
2024-04-26,4.2,0.038,11.7,48.0,0.31527409913491056,0.4696915353075895
2024-04-27,4.6,0.029,12.8,78.0,0.3595629242385509,0.4629815177666949
2024-04-28,10.6,0.046,20.9,68.0,0.5796323642014066,0.48002226696294237
2024-04-29,10.1,0.056,23.4,54.0,0.59053318097118,0.5090529301387873
2024-04-30,10.6,0.048,23.6,57.0,0.5728246427390065,0.5288652904855493
2024-05-01,5.5,0.056,22.2,59.0,0.49513692017194866,0.5359462611963886
2024-05-02,7.5,0.064,22.8,57.0,0.574263894299471,0.5417697923709389
2024-05-03,7.5,0.046,18.9,63.0,0.49042894881877463,0.5449334954947306
2024-05-04,3.7,0.024,12.2,90.0,0.34305665793087137,0.531035973255378
2024-05-05,5.0,0.02,16.2,89.0,0.36689184030487965,0.5124385653877079
2024-05-06,6.8,0.03,21.2,83.0,0.458335266544428,0.5072192002232162
2024-05-07,6.2,0.036,22.8,79.0,0.46920865219070573,0.5105976445275983
2024-05-08,7.0,0.045,24.2,61.0,0.4905588503250868,0.5154942016788969
2024-05-09,6.0,0.044,19.5,66.0,0.4572865604832059,0.5179826344554695
2024-05-10,3.4,0.025,13.9,86.0,0.33794867602336737,0.508270235566079
2024-05-11,3.0,0.038,13.3,72.0,0.3527892913437012,0.49363443943122765
2024-05-12,3.9,0.04,14.8,66.0,0.37349033701503065,0.4852520586602191
2024-05-13,4.7,0.046,16.4,58.0,0.40597121950758697,0.48313375695877464
2024-05-14,6.3,0.039,17.5,83.0,0.47420968210654874,0.4895802937829913
2024-05-15,3.9,0.036,16.7,87.0,0.4132765034301029,0.4943435153062154
2024-05-16,4.3,0.044,19.5,66.0,0.41929773366756345,0.49397262336970116
2024-05-17,4.1,0.034,18.4,76.0,0.38856006816301925,0.49161347108490766
2024-05-18,6.2,0.033,17.0,90.0,0.4592599968706194,0.49335090380904345
2024-05-19,10.2,0.043,19.4,76.0,0.5703278279496538,0.5085178520780216
2024-05-20,7.2,0.047,19.7,77.0,0.5253445498304992,0.5235392945950924
2024-05-21,6.6,0.041,22.0,65.0,0.4642199957427973,0.5266864139654175
2024-05-22,7.7,0.049,25.3,65.0,0.5386483602368007,0.5304563604499613
2024-05-23,10.4,0.05,25.0,70.0,0.6145207798506114,0.5435449797818213
2024-05-24,9.6,0.064,24.8,67.0,0.6532177151605676,0.5601675140843599
2024-05-25,10.1,0.06,24.2,69.0,0.6484182012822932,0.5736132430865597
2024-05-26,7.6,0.055,25.3,71.0,0.578622160089858,0.5779773179248435
2024-05-27,6.8,0.031,23.4,79.0,0.4618894197945301,0.5691391687684373
2024-05-28,4.2,0.049,22.0,62.0,0.44025372323354417,0.5541356359048754
2024-05-29,4.3,0.048,19.2,73.0,0.4535198212742211,0.5426779926509763
2024-05-30,4.4,0.044,18.6,52.0,0.38413659861959065,0.5299585018417029
2024-05-31,4.4,0.05,17.5,48.0,0.3978433929622816,0.5168307118517695
2024-06-01,5.2,0.055,18.6,51.0,0.4503635695221788,0.5120127042543705
2024-06-02,8.9,0.046,21.7,62.0,0.5302605676224356,0.5182582582985359
2024-06-03,8.5,0.052,23.6,67.0,0.5685523552859657,0.5310065354307727
2024-06-04,9.7,0.056,24.5,64.0,0.6100962758670213,0.5455485844049051
2024-06-05,10.1,0.032,24.8,81.0,0.5505695595677372,0.5541361307344604
2024-06-06,8.9,0.031,25.6,72.0,0.5004974982147945,0.553014377133443
2024-06-07,4.2,0.05,22.5,47.0,0.41053700981136454,0.5426016530786794
2024-06-08,4.0,0.051,21.7,48.0,0.4099693162535125,0.5289995253892291
2024-06-09,4.2,0.046,23.1,51.0,0.40410276015636193,0.5183516433722919
2024-06-10,4.0,0.051,20.3,54.0,0.4190024165651439,0.5111623395936319
2024-06-11,5.0,0.04,18.6,60.0,0.3984377200967799,0.5052080823740334
2024-06-12,7.6,0.051,20.3,59.0,0.511546118132994,0.5082492029938834
2024-06-13,10.9,0.054,25.0,61.0,0.6223813091213046,0.5266834807838895
2024-06-14,12.2,0.065,26.7,60.0,0.7064394278279098,0.5528433844364963
2024-06-15,6.1,0.052,22.3,56.0,0.4832167833319476,0.5604766437045328
2024-06-16,7.8,0.053,21.7,58.0,0.528309834988697,0.5553419910900262
2024-06-17,9.2,0.05,26.4,61.0,0.5714139725647503,0.5574359078195116
2024-06-18,9.0,0.045,27.8,62.0,0.5517701593041467,0.5602184118062603
2024-06-19,5.1,0.043,25.9,59.0,0.4406892343047141,0.5532313129836787
2024-06-20,5.7,0.043,25.9,62.0,0.46135512004989354,0.542600077851632
2024-06-21,7.8,0.049,27.5,57.0,0.5301443463881879,0.5411339491849559
2024-06-22,10.8,0.051,30.9,49.0,0.6003753099474813,0.5495411457728354
2024-06-23,7.3,0.04,31.2,52.0,0.4798267879174349,0.5513535824576963
2024-06-24,6.6,0.05,24.8,45.0,0.4683374179483186,0.5442343004006494
2024-06-25,9.6,0.05,23.6,47.0,0.5355154948675951,0.5431633258453061
2024-06-26,7.7,0.058,29.2,56.0,0.5736867796629065,0.5494046710788445
2024-06-27,5.4,0.063,26.7,57.0,0.5379952868184418,0.5537106167029258
2024-06-28,5.2,0.047,24.2,55.0,0.44505002683644707,0.5479567279883842
2024-06-29,7.0,0.046,27.5,69.0,0.5274533556344829,0.5438099544328155
2024-06-30,7.8,0.037,29.7,62.0,0.49547269318667686,0.543773719442906
2024-07-01,2.5,0.037,21.4,49.0,0.3130787986783633,0.5282550016228067
2024-07-02,4.2,0.042,22.5,53.0,0.38813006192054567,0.5099009780881706
2024-07-03,5.1,0.05,25.0,62.0,0.4767301869509898,0.5082304903875989
2024-07-04,10.4,0.052,28.6,73.0,0.6451088303076924,0.526067637049381
2024-07-05,10.5,0.041,30.3,67.0,0.5887160708241871,0.5454359575919522
2024-07-06,7.6,0.052,30.8,53.0,0.5427680891208203,0.5521814120398911
2024-07-07,6.7,0.059,29.8,46.0,0.5341121166278077,0.5534740823429612
2024-07-08,9.2,0.052,28.7,61.0,0.5896525746936919,0.5577527892988918
2024-07-09,8.1,0.046,30.6,65.0,0.5544979340333384,0.5617360106335464
2024-07-10,6.6,0.035,29.7,74.0,0.4884585395623232,0.5578464105537859
2024-07-11,3.8,0.059,25.9,51.0,0.4661302701115816,0.5493563251210646
2024-07-12,4.6,0.04,23.9,83.0,0.4659015140577269,0.5417127707607509
2024-07-13,3.4,0.054,28.4,71.0,0.49229301903822326,0.5380268675161244
2024-07-14,8.4,0.056,30.0,59.0,0.5904896923177544,0.5442012080126178
2024-07-15,10.8,0.061,30.6,55.0,0.659870350407737,0.5596009617051209
2024-07-16,12.7,0.05,30.6,59.0,0.6612366395520042,0.5744608780321006
2024-07-17,8.7,0.064,30.3,68.0,0.6570658081295921,0.5844337654289882
2024-07-18,8.4,0.06,25.8,68.0,0.6142763381658001,0.5882724900975841
2024-07-19,8.5,0.056,25.3,59.0,0.5743170184843019,0.5859412752408525
2024-07-20,7.7,0.04,24.5,80.0,0.5302670620100548,0.579113350304804
2024-07-21,8.4,0.06,26.1,65.0,0.6081932083755195,0.5769086329897896
2024-07-22,5.5,0.034,25.9,79.0,0.4564764170264797,0.5697243877962557
2024-07-23,6.2,0.06,26.4,69.0,0.5698835512830225,0.5632485217439319
2024-07-24,4.8,0.045,27.3,86.0,0.5140217022867462,0.5616071279999072
2024-07-25,9.5,0.037,26.2,76.0,0.5536249159426883,0.5597940497911517
2024-07-26,8.3,0.057,23.9,55.0,0.5593026812812045,0.5613152645257996
2024-07-27,6.4,0.051,23.7,55.0,0.4883689832130052,0.557810367308117
2024-07-28,7.2,0.065,24.5,57.0,0.5788333317468057,0.5572571447220322
2024-07-29,10.2,0.051,28.1,62.0,0.6074530441804036,0.5643733862460927
2024-07-30,7.2,0.033,27.5,76.0,0.4888581132484675,0.5629637701631388
2024-07-31,8.8,0.05,29.5,66.0,0.5867131914393671,0.5614906364629362
2024-08-01,14.6,0.071,28.9,61.0,0.7987985632646845,0.5806085994772211
2024-08-02,10.9,0.044,31.1,59.0,0.5952790927156265,0.5923681664813438
2024-08-03,9.7,0.042,28.6,75.0,0.5881512357307068,0.5886489691700992
2024-08-04,6.1,0.047,27.0,77.0,0.5293536225728886,0.5817644926157006
2024-08-05,9.4,0.056,28.4,61.0,0.6114084521723985,0.5789354685251291
2024-08-06,6.3,0.039,30.0,68.0,0.48687497310292704,0.573436083591369
2024-08-07,3.5,0.023,28.6,74.0,0.35949208716617,0.5531751640344177
2024-08-08,5.4,0.025,24.7,92.0,0.43945519261634125,0.5357273830677961
2024-08-09,6.1,0.023,26.7,86.0,0.4391836506261964,0.5279497076634139
2024-08-10,9.5,0.053,26.7,61.0,0.5931389717512778,0.5337766562130197
2024-08-11,6.2,0.045,23.4,56.0,0.45745182189054184,0.5380074387595072
2024-08-12,5.0,0.047,22.8,56.0,0.4375170792115134,0.5307658350797245
2024-08-13,5.6,0.042,23.1,53.0,0.4217648475733601,0.5228373652006423
2024-08-14,16.6,0.045,23.1,61.0,0.7007758959951133,0.5368979911797699
2024-08-15,16.3,0.047,23.9,57.0,0.6967584945254481,0.5638797010596677
2024-08-16,15.0,0.048,23.9,64.0,0.6892590836821915,0.5813874872514255
2024-08-17,14.5,0.038,25.9,78.0,0.6736359190850627,0.5918082545228015
2024-08-18,9.4,0.041,26.7,83.0,0.588745525946767,0.5926744890822844
2024-08-19,4.1,0.039,24.4,68.0,0.41578084704723617,0.5772369710555478
2024-08-20,4.0,0.036,18.9,57.0,0.35154668312987714,0.5510482611241581
2024-08-21,3.8,0.038,17.5,56.0,0.34840579505829333,0.5268201421545556
2024-08-22,5.3,0.044,17.5,58.0,0.4144563655006461,0.5132658502489917
2024-08-23,7.4,0.063,19.8,60.0,0.5629225900702214,0.5192181737517416
2024-08-24,7.7,0.053,22.2,64.0,0.5425495516925276,0.531912878678847
2024-08-25,8.3,0.051,23.3,63.0,0.5486153428468771,0.5400630335345615
2024-08-26,9.7,0.05,26.1,71.0,0.6056057705835404,0.550291138730514
2024-08-27,12.4,0.074,26.4,63.0,0.7585302928996687,0.5714374134233979
2024-08-28,12.9,0.072,29.7,60.0,0.7661389254946464,0.5948762623558554
2024-08-29,8.9,0.057,27.8,77.0,0.641210460397899,0.6031337812847415
2024-08-30,4.2,0.017,22.5,90.0,0.3622615755681884,0.5842781329611192
2024-08-31,4.7,0.037,24.5,84.0,0.4590592213734882,0.5605529964849504
2024-09-01,6.0,0.029,24.7,85.0,0.45438906843596233,0.548625922915181
2024-09-02,6.7,0.037,20.0,56.0,0.4183860024320564,0.5369643801390546
2024-09-03,3.4,0.047,17.8,54.0,0.3773419341591505,0.5228420693738223
2024-09-04,4.4,0.047,17.8,64.0,0.4238818512613311,0.5130407758895719
2024-09-05,4.4,0.045,18.4,69.0,0.42909772567580734,0.5093666824091432
2024-09-06,5.0,0.038,20.3,72.0,0.424897172377002,0.5067011140806914
2024-09-07,4.4,0.027,19.2,65.0,0.3394765425129751,0.49762812624551206
2024-09-08,2.5,0.038,15.6,54.0,0.30707555278755744,0.48184637203052744
2024-09-09,2.9,0.045,15.9,57.0,0.3567547918232608,0.47142732954069816
2024-09-10,6.1,0.056,19.4,61.0,0.502417393637165,0.4795715044366079
2024-09-11,9.0,0.058,21.4,64.0,0.5915435948301301,0.5033797911581182
2024-09-12,6.2,0.057,20.9,66.0,0.5272388629468493,0.5214801304039798
2024-09-13,5.8,0.041,20.6,77.0,0.46989213011461983,0.5257460523164939
2024-09-14,8.5,0.06,21.9,63.0,0.5891400494077287,0.5339267375340107
2024-09-15,7.8,0.043,20.3,64.0,0.49118908914648224,0.5403241573542462
2024-09-16,5.9,0.04,20.3,70.0,0.4494009637739273,0.5355436158947171
2024-09-17,7.7,0.031,22.5,85.0,0.49299247649281785,0.5325358542257097
2024-09-18,4.8,0.031,21.7,87.0,0.42989355762756465,0.5284951099503596
2024-09-19,6.4,0.042,23.4,71.0,0.48436526436804994,0.5254169308677992
2024-09-20,8.7,0.051,22.5,70.0,0.5713562149349488,0.5333125575984833
2024-09-21,5.1,0.039,23.3,79.0,0.4604320249933483,0.5364876120650383
2024-09-22,4.8,0.034,20.6,84.0,0.43217355296281146,0.5294416004150456
2024-09-23,5.2,0.029,18.4,89.0,0.42151576357591414,0.5215249422032331
2024-09-24,5.1,0.027,17.5,93.0,0.41620297265092954,0.514516175355497
2024-09-25,3.7,0.023,20.3,93.0,0.37742257542952706,0.505885124082572
2024-09-26,4.1,0.022,23.6,90.0,0.38741195576838106,0.4974507077243521
2024-09-27,3.7,0.02,23.1,92.0,0.37212312418591675,0.49054931543292696
2024-09-28,7.5,0.039,25.3,75.0,0.5122187887270345,0.49568510784468733
2024-09-29,5.2,0.019,20.3,93.0,0.3924805900406143,0.4998928171610086
2024-09-30,4.0,0.023,18.4,92.0,0.3742658779416349,0.4929857601385592
2024-10-01,3.3,0.022,18.4,90.0,0.3491693255482723,0.4843516681042364
2024-10-02,5.3,0.02,19.2,89.0,0.3853450981778904,0.47893265056932444
2024-10-03,7.2,0.032,20.6,80.0,0.46689664929340463,0.48434019121405686
2024-10-04,6.4,0.031,21.7,87.0,0.4656477475716988,0.49418333802786585
2024-10-05,8.0,0.047,19.2,72.0,0.5291666460659369,0.5063474998628343
2024-10-06,7.0,0.047,17.0,72.0,0.4982040893612969,0.517108471344525
2024-10-07,11.1,0.039,17.5,64.0,0.5355045100034671,0.5256264829940165
2024-10-08,3.9,0.04,14.5,64.0,0.36747669261176275,0.5215882956812854
2024-10-09,3.6,0.044,13.9,56.0,0.3575296122974015,0.5062750316069066
2024-10-10,2.9,0.026,12.0,58.0,0.2562076875336315,0.4856376035811575
2024-10-11,3.0,0.033,12.5,62.0,0.3023856606107519,0.4658293468935215
2024-10-12,7.0,0.055,16.7,63.0,0.5121780380101382,0.47212659837069254
2024-10-13,9.3,0.046,18.3,64.0,0.5307218978929381,0.4939093816280827
2024-10-14,4.8,0.033,13.4,55.0,0.32919844460448067,0.4948684474471955
2024-10-15,2.8,0.028,9.5,68.0,0.27760624556458446,0.4765294115703038
2024-10-16,2.7,0.03,9.2,58.0,0.2592338948108999,0.4566669168715038
2024-10-17,3.1,0.034,9.7,58.0,0.2885922053015529,0.4422415051832056
2024-10-18,4.3,0.034,10.9,58.0,0.3201075866630477,0.43625337814300646
2024-10-19,5.5,0.038,12.8,58.0,0.37282602084639427,0.4390137951755452
2024-10-20,6.3,0.05,13.1,63.0,0.45935944012247365,0.4530722771914599
2024-10-21,6.1,0.062,15.0,61.0,0.5128773253503605,0.4747494756462058
2024-10-22,7.1,0.056,17.5,58.0,0.5100644445724123,0.49416409154108515
2024-10-23,9.0,0.052,16.1,63.0,0.5406747521424549,0.5103799968845217
2024-10-24,5.6,0.037,12.8,49.0,0.3486710795541309,0.509279944359797
2024-10-25,3.8,0.036,10.6,60.0,0.32182894648784577,0.49268533073729304
2024-10-26,6.0,0.04,13.4,54.0,0.3859024245315638,0.4832918669293236
2024-10-27,3.5,0.035,8.1,58.0,0.295879818865112,0.4733785080294426
2024-10-28,4.8,0.04,8.9,65.0,0.36807566441154127,0.46507519094765754
2024-10-29,5.3,0.042,11.1,70.0,0.40919258018295696,0.46782019112870876
2024-10-30,9.9,0.04,17.0,70.0,0.5258621566499283,0.4828136539921895
2024-10-31,8.6,0.039,20.8,64.0,0.49256287020009176,0.49951110585663183
2024-11-01,5.6,0.039,20.3,52.0,0.3945332814472433,0.5015100318617546
2024-11-02,4.9,0.036,11.1,54.0,0.3338520475852608,0.4910656035285125
2024-11-03,6.3,0.036,9.5,55.0,0.3612900000872289,0.4809045304299026
2024-11-04,5.0,0.035,8.4,73.0,0.36686462924423147,0.4756827875205178
2024-11-05,5.8,0.037,18.1,68.0,0.4198652753892895,0.4766252804322455
2024-11-06,6.3,0.034,22.2,69.0,0.435669101992651,0.48260524308001185
2024-11-07,8.1,0.035,20.6,69.0,0.47424163175732753,0.4913820366592664
2024-11-08,4.5,0.041,17.8,43.0,0.34761772882762854,0.4903847519701269
2024-11-09,3.0,0.032,8.9,45.0,0.24254202702711997,0.47145787796800764
2024-11-10,5.4,0.032,8.9,66.0,0.3469797635562243,0.45761865882324715
2024-11-11,4.1,0.034,18.9,62.0,0.35664732496416474,0.45604013886990025
2024-11-12,1.9,0.029,11.4,44.0,0.211486635471069,0.44273418694007255
2024-11-13,3.6,0.026,5.4,52.0,0.2314854526332637,0.4220739458076592
2024-11-14,4.2,0.03,5.6,80.0,0.33188003762495577,0.4168833180964811
2024-11-15,7.2,0.02,10.3,83.0,0.3784306728374509,0.425777965802054
2024-11-16,3.1,0.035,11.7,56.0,0.2962017784118419,0.428852173122644
2024-11-17,5.0,0.033,8.4,66.0,0.3406983761424945,0.42844449244645144
2024-11-18,9.3,0.038,12.2,67.0,0.47716654606040265,0.44421642365456976
2024-11-19,9.2,0.029,11.4,68.0,0.432679643220213,0.46279068506503307
2024-11-20,11.4,0.032,13.1,76.0,0.5217006103957038,0.4806148392122934
2024-11-21,2.2,0.03,6.4,65.0,0.2540301368830725,0.4781039692715029
2024-11-22,2.3,0.018,4.2,70.0,0.20436074457395775,0.45128549783901606
2024-11-23,1.0,0.022,10.0,61.0,0.19471321485723908,0.424872160724635
2024-11-24,3.4,0.029,9.7,57.0,0.26979983800044527,0.41002593224504724
2024-11-25,6.4,0.028,7.3,67.0,0.34701763011062037,0.41225840521811075
2024-11-26,6.2,0.033,10.9,58.0,0.3579503026063223,0.42164734918474067
2024-11-27,3.7,0.026,5.9,54.0,0.2405170237252724,0.41875847313548525
2024-11-28,4.6,0.029,8.4,76.0,0.33749183858201925,0.41566348205739767
2024-11-29,4.8,0.026,2.0,57.0,0.25708194239196225,0.41390857420073796
2024-11-30,8.9,0.031,-1.9,53.0,0.34682740640985893,0.41417117318017294
2024-12-01,9.8,0.033,-0.2,63.0,0.4070214193177755,0.42764929399516827
2024-12-02,5.1,0.026,-1.0,50.0,0.23510102187703402,0.42704779884142957
2024-12-03,5.6,0.023,-0.2,50.0,0.23556121165735155,0.41202023706922847
2024-12-04,7.8,0.029,-1.0,60.0,0.333475919641011,0.40958036231411443
2024-12-05,5.2,0.03,1.5,46.0,0.2559109005706468,0.40874844216298445
